Invalides;
La Tour-Maubourg;
Ecole Militaire;
Commerce;
Félix Faure;
Boucicaut;
Lourmel;
Balard;
Mairie de Montreuil;
Croix-de-Chavaux (Jacques Duclos);
Robespierre;
Porte de Montreuil;
Maraichers;
Buzenval;
Rue des Boulets;
Charonne;
Voltaire (Léon Blum);
Saint-Ambroise;
Saint-Augustin;
Miromesnil;
Saint-Philippe du Roule;
Alma-Marceau;
Iéna;
Rue de la Pompe (Avenue Georges Mandel);
La Muette;
Ranelagh;
Jasmin;
Michel-Ange-Auteuil;
Michel-Ange-Molitor;
Exelmans;
Porte de Saint-Cloud;
Marcel Sembat;
Billancourt;
Pont de Sèvres;
Boulogne Pont de Saint-Cloud;
Boulogne-Jean-Jaurès;
Porte d'Auteuil;
Eglise d'Auteuil;
Javel-André-Citroen;
Charles Michels;
Avenue Emile-Zola;
Ségur;
Duroc;
Vaneau;
Sèvres-Babylone;
Mabillon;
Cluny-La Sorbonne;
Maubert-Mutualité;
Cardinal-Lemoine;
Chardon-Lagache;
Mirabeau;
Mairie des Lilas;
Telegraphe;
Jourdain;
Pyrenees;
Goncourt (Hôpital Saint-Louis);
Rambuteau;
Mairie d'Issy;
Corentin-Celton;
Porte de Versailles;
Convention;
Vaugirard (Adolphe Chérioux);
Volontaires;
Falguière;
Notre-Dame des Champs;
Rennes;
Rue du Bac;
Solférino;
Assemblée Nationale;
Trinité-d'Estienne d'Orves;
Notre-Dame de Lorette;
Saint-Georges;
Abbesses;
Lamarck-Caulaincourt;
Jules Joffrin;
Marx-Dormoy;
Porte de la Chapelle;
Front Populaire;
Saint-Denis-Universite;
Basilique de Saint-Denis;
Saint-Denis-Porte de Paris;
Carrefour-Pleyel;
Mairie de Saint-Ouen;
Garibaldi;
Porte de Saint-Ouen;
Guy-Môquet;
La Fourche;
Liège;
Varenne;
Saint-Francois-Xavier;
Gaité;
Pernéty;
Plaisance;
Porte de Vanves;
Malakoff-Plateau de Vanves;
Malakoff-Rue Etienne Dolet;
Châtillon Montrouge;
Asnieres-Gennevilliers Les Courtilles;
Les Agnettes;
Gabriel-Péri;
Mairie de Clichy;
Porte de Clichy;
Brochant;
Pyramides;
Cour Saint-Emilion;
Bibliotheque-Francois Mitterrand;
Olympiades;
Marne-la-Vallée Chessy;
Val d'europe;
Bussy-Saint-Georges;
Torcy;
Lognes;
Noisiel;
Noisy-Champs;
Noisy-le-Grand (Mont d'Est);
Bry-sur-Marne;
Neuilly-Plaisance;
Vincennes;
Nation;
Gare de Lyon;
Chatelet-Les Halles;
Auber;
Charles de Gaulle-Etoile;
La Défense (Grande Arche);
Nanterre-Préfecture;
Nanterre-Université;
Nanterre-Ville;
Rueil-Malmaison;
Chatou-Croissy;
Le Vésinet-Centre;
Le Vésinet-Le Pecq;
Saint-Germain-en-Laye;
Boissy-Saint-Léger;
Sucy Bonneuil;
La Varenne-Chennevières;
Champigny;
Le Parc de Saint-Maur;
Saint-Maur Créteil;
Joinville-le-Pont;
Nogent-sur-Marne;
Fontenay-sous-Bois;
Saint-Rémy-lès-Chevreuse;
Courcelle-sur-Yvette;
Gif-sur-Yvette;
La Hacquinière;
Bures-sur-Yvette;
Orsay-Ville;
Le Guichet;
Lozère;
Palaiseau Villebon;
Palaiseau;
Massy-Palaiseau;
Les Baconnets;
Fontaine-Michalon;
Antony;
La Croix-de-Berny;
Parc de Sceaux;
Bourg-la-Reine;
Bagneux;
Arcueil-Cachan;
Laplace;
Gentilly;
Cité Universitaire;
Denfert-Rochereau;
Port Royal;
Luxembourg;
Saint-Michel Notre-Dame;
Gare du Nord;
Sceaux;
Fontenay-aux-Roses;
Robinson;
